title,label
삼성 준법위-사업지원 TF 회동…콘트롤타워 부활 논의했나,1
"삼성전자, 장애인 직원 채용 자회사 만든다…일자리 창출",1
"삼성전자, 자회사형 장애인 표준사업장 만든다",1
"한국남동발전-삼성전자, '탄소중립' 함께 달린다",1
"삼성 임원들, 격려금 100억 모아 헌혈버스 4대 기부",1
"삼성전자 찾은 민주당 “韓기업, 미·중 패권 희생양 안되도록 할 것”",0
세계 1등 한국제품 몇개일까…“삼성전자가 올킬”,1
"국내 100대기업 내 여성 임원, 400명 돌파…삼성전자 최다",0
"삼성, 대한적십자사에 '헌혈버스' 4대 기증…이재용 '동행 철학' 실천",1
세계 1·2위면 뭐하나… 창고에 쌓이는 삼성·LG TV,2
"삼성家 저격 '삼성생명법', 2년 만의 부활?",2
세계에서 팔린 TV 3대 중 1대는 삼성…누적 점유율 1위,1
"삼성전자, e식품관 '100만 방문' 기념 고객 감사 기획전",0
품질경영대회 은탑훈장에 TV 16년 1위 삼성전자 김형남 부사장,1
"삼성 TV, 글로벌 점유율 1위...LG는 10년 연속 'OLED 왕좌' 예약",1
"삼성전자, 메모리 한파에 세계 반도체 1위 자리 인텔에 내줬다",2
"NH농협은행, '김치의 날' 맞아 삼성전자와 김장 및 쌀 나눔 행사 실시",0
"""번 돈 절반 썼다""…삼성·SK·롯데 대기업도 줄줄이 '비명'",2
"민주, 삼성전자 공장 방문…미중 경쟁 산업계 전략 점검",0
"삼성 네오 QLED 4K TV, 유럽 IoT기기 보안 표준 인증 획득",1
"애플, 삼성전자 낸드플래시 도입 가능성↑…  中 견제 영향",0
"삼성 경계현이 주목한 자이스, 韓 480억 R&amp;D 투자",0
"민주당 민생대책위 ""반도체 경쟁 살얼음판…삼성전자 역할 중요""",2
‘삼성 저격수’ 박용진이 발의한 ‘삼성생명법’…정무위 법안소위 상정,0
"블랙프라이데이 맞아 삼성·LG, 북미 TV 판촉 '사활'",1
"[단독] “최고 속도·최저 전력” 삼성전자, 20년 공들인 차세대 ‘M램’ 공개",1
"[종합] 中 강세에도 전 세계 휩쓴 'K-TV'…삼성·LG, 점유율 절반 차지",1
"""믿었던 서버용 메모리마저""..삼성·SK '반도체 혹한기'",2
"""2년 더 일했는데 신입 연봉이랑 같다니…"" 삼성 직원의 분노",2
"""반도체 치킨게임""...삼성전자·SK하이닉스, 왜 달라지나",0
애플과 경쟁 와중에…유럽서 샤오미에 추격당하는 삼성폰,2
"삼성전자, 세계 TV 시장 점유율 30%로 1위 수성…“프리미엄 부문서 선전”",1
"박용진 ""삼성 이재용, 아버지 시대의 유물 정리해야""",0
"삼성·LG, 경기 침체에도 글로벌 TV 시장 점유율 ‘1·2위’",1
"'경제' 외치는 민주, 삼성行 ""미중 경쟁 희생양 않도록 최선""",0
"삼성전자, '자회사형 장애인 표준사업장' 설립해 일자리 창출",1
파운드리 반전 신호탄 쏜 삼성…'거물급' 고객 확보했다,1
다시 등장한 '삼성생명'법...국회 통과 여부에 주목,2
"남동발전-삼성전자, '탄소중립' 공동 대응",1
불황 덮친 글로벌 TV시장…삼성·LG는 선전,2
해묵은 '삼성생명법' 또 꺼낸 국회,2
"삼성 TV, 17년 연속 글로벌 1위 수성…LG도 2위 유지",1
"TV 불황에도 삼성·LG, 전 세계 시장점유율 1,2위 차지",1
"삼성전자, 구글 제치고 '글로벌 최고 브랜드' 1위 올라",1
"정무위 법안소위, 삼성그룹 지배 구조 영향 삼성생명법  상정",2
"TSMC, 3나노 웨이퍼 가격 25% 인상…삼성전자, 반사이익 얻을까?",2
"삼성 글로벌 TV 1위, LG 올레드 TV 1위 지켰다",1
"삼성 Neo QLED 4K TV, 유럽 IoT기기 보안 표준 인증 획득",1
"삼성, 대한적십자사에 '헌혈버스' 4대 전달… 10년간 40대 지원 예정",0
"삼성, 100억 기부 '헌혈버스' 4대 전달...26년간 헌혈 캠페인 지속",0
[금융가 인사이드] 고객 보험료로 지배구조 다지기?…다시 도마 오른 삼성생명법,2
"구글마저 넘었다…삼성전자, 글로벌 브랜드 1위 올라 [뒷북비즈]",1
"""삼성, 아이폰에 낸드플래시 공급""…'적자' 경쟁사 타격 불가피",2
"농협은행, 삼성전자와 함께 김장김치·쌀 나눔",0
"삼성그룹 임원, 상여금 십시일반으로 헌혈버스 지원",0
"""R&amp;D에 과감히 투자해야 제 2의 삼성전자 나온다""",0
김경준 삼성전자 부사장 “UWB 기술 규제 개선 환영… 의료·로봇까지 생태계 확대”,1
"[단독] 삼성, 스페인에 반도체 팹 짓나…경영진 내년 1분기 유럽행",1
[특징주]삼성전자·하이닉스 1%안팎 상승…美반도체 강세,2
"""'8만전자' 쉽지 않다""…2023년 주도업종은?",2
삼성전자 아직 바닥 아니다?,2
삼성전자 주식 19조 팔라는 ‘삼성생명법’ 발의… 개미들 날벼락,2
해묵은 '삼성생명법' 또 꺼낸 국회,2
"박용진 ""삼성 이재용, 아버지 시대의 유물 정리해야""",0
"대덕전자, 수익성 개선 여력 상존…목표가↓-하나증권",2
"삼성전자 개미들, 한달 새 2조 팔았다",2
"삼성전자, 줄어드는 외인 매수…다시 5만전자 복귀하나",2
"""삼성전자, 7.2만→8만…목표가 더 올릴 수도""-하이",1
"“바보야, 주식은 상식대로 하는거야”…불황때 삼성전자 투자하는 이유 [강인선의 자본추]",0
6만전자 회복에도…쉬어가는 美증시에 거래량 주춤,2
"삼성전자·SK하이닉스, 미 반도체주 급락 여파에 '흔들'",2
삼성 또 경영권 리스크… 개정보험업법 통과땐 `전자 4억주` 팔아야,2
'6만전자' 지켜낼 때 '8만닉스' 뒷걸음… 반도체 투톱 희비,2
외국인 삼성전자 매수세 한풀 꺾여...원화강세 흐름 부담됐나,2
[ET] ‘테슬라를 잡아라!’ TSMC VS 삼성전자 격돌…삼전 주식 사야? 말아야?,0
삼성 시총 104조 증발…127조 늘어나 2위로 뛴 이 회사[뉴스원샷],2
"거래량도 줄었다…삼성전자, 두 달만 1000만주↓",2
"민주 ""삼성, 미·중 기술 패권 경쟁 희생양으로 안 만들것""",2
"삼성전자, 4분기 실적 부진하다는데…목표가 상향 이유는",2
"정무위 법안소위, 삼성그룹 지배 구조 영향 삼성생명법  상정",2
"삼성전자, 6만원대 안착... 증권사들 “가장 편안한 선택지”",0
10년만에 첫 적자 '공포'...소문에 출렁이는 SK하이닉스 주가,2
마이크론 20% 감산에… 파랗게 질린 삼성전자·SK하이닉스 주식,2
"삼성전자, 저평가 벗을 변화 필요…주가는 긍정적 -유진",1
"커지는 TSMC 제국…애플, 3나노도 삼성 아닌 TSMC 맡기나",2
[김대호 박사의 오늘 기업·사람] 아디다스·나이키·푸마·코인베이스·삼성전자·인텔·SK바사,0
삼성생명 “삼성전자 지분 안판다”…고객 돈으로 지배구조 유지 꼼수,2
개미들 '6만전자' 되자 차익실현…7654억원 팔아,0
"'경제' 외치는 민주, 삼성行 ""미중 경쟁 희생양 않도록 최선""",1
[특징주]삼성전자·하이닉스 1%안팎 상승…美반도체 강세,2
"'투자의 신' 버핏, 삼성 대신 TSMC 사들인 '진짜 이유' [심성미의 증시 돋보기]",2
"투자의 귀재 워런 버핏, 삼성전자 아닌 TSMC 샀다",2
공매도 줄어드는 삼성전자…7만전자 넘볼까,2
"[대형주 간다①]삼성전자, 이재용 효과 `7만전자' 기대",2
"""어제 팔 걸 그랬다""…삼성전자에 실망한 개미들 탈출 러시",2
"마이크론 감산 발표에도, 주가 6.7% 급락",2
"""삼성전자, 하이닉스 하락시 분할매수 권고""",2
"박용진, '삼성생명법' 관철 예고…""전방위적으로 뛰겠다""",2
"""원익머트리얼즈, 높은 실적·매력적인 주가""-신한",1
"""마이크론 감산, 길게 보면 삼성전자에 호재""",1
"6만전자, 다시 올라탄 외국인·기관…왜?",1
6만전자 안착했지만…외국인·기관은 또 팔았다,2
“이젠 떠날 때”...돌아온 6만전자에 개인 7650억원 팔았다,2
“삼성전자·강남아파트 이 방법 하나면 싸게 삽니다” [안갑성의 자이앤트 인터뷰],0
"삼성전자, 장중 6만1000원대 회복…약 3개월 만",1
"'버핏의 픽' TSMC…삼성, 테일러 파운드리 공장 속도내나",0
"키움證 ""원익IPS, 매력적인 주가 밸류에이션""",0
"다시 움직이는 '삼성저격수' 박용진 ""이건 이재용 돕는 법""",0
연말 코스피 순매수 나서는 기관...'삼성전자' 산다,1
삼성전자 쓸어담은 ‘개미’… 600만 주주시대,1
"[단독] 삼성생명 ""IFRS 따라 삼성전자 지분 보유""",0
2차전지 호재에 주식 수까지 5배 느네…동원산업 향후 주가는,1
"코스피, 외인·기관 '사자'에 오름세 지속…삼성전자·SK하이닉스 ↑",1
"SK하이닉스, 삼성전자 주가 다시하락세로... 내년 3분기나 돼야 반등?",2
"""주가 할인율 평균 57%""…대기업 지주사에 '쏠린 눈'",0
[유안타證 주간추천주]삼성전자·크래프톤·카카오,0
"삼성전자, 장중 6만3000원 터치…5개월만에 최고가 [증시이슈]",1
"외국인, 삼성전자 2조 '폭식'…주가도 20% 급등",1
삼성전자 3.6% 급등…6만3000원대 눈앞,1
외국인 덕에 '6만전자' 회복…'차이나런' 계속될까,1
"KB證 ""삼성전자·LG엔솔, 소수점 거래계좌 매수금 55% 차지""",0
삼성전자 주주 600만명 돌파… 올해 95만명 늘어,1
삼성전자 4% 하이닉스6% 쑥...미 물가 주춤하자 대형 기술주 강세,1
[특징주] 미 반도체 지수 급락에 SK하이닉스·삼성전자도 '털썩',2
"""내년 2분기부터 삼성전자 등 메모리 반도체주 상승 전망""",1
[특징주] 美 반도체주 급락에 SK하이닉스·삼성전자 약세,2
삼성전자·SK하이닉스 주가 '단숨에 쑥'…거침없이 쓸어담는 외국인,1
박용진 “‘삼성생명법’ 삼성 괴롭히기 아냐… 오해·거짓말 안돼”,2
[특징주] 美 마이크론 급락에 삼성전자·SK하이닉스 하락세,2
"외국인, 삼성전자 2조 '폭식'…주가도 20% 급등(종합)",1
"삼성전자, 석달 만에 6만1000원대 회복(종합)",1
"'차이나런' 외국인, 삼성전자에만 2兆 쐈다",1
"'6만전자' 회복, 개미들 차익실현..외국인·기관 순매수",1
"[특징주] 삼성전자, 5개월 만에 최고가 경신…시총상위주 일제히 급등",1
삼성전자 주주 600만명 넘었다…개인들 올 들어 16兆 담아,1
"""반등장에 믿을 株님들""…'삼성 삼총사' 쓸어담은 이것은",0
지배구조 개편 이슈 부상…삼성그룹株 지각변동 예고,0
"버티던 반도체주 무너지나…""삼성전자 약세 불가피"" [증시 개장 전 꼭 알아야 할 5가지]",2
TSMC 급등·ASML 투자 훈풍에 국내 반도체 업계 주가 ‘두근두근’,2
"""삼성전자, 9만전자 간다"" 외국인은 지금, 6만전자 '줍줍'",1
"마이크론발 충격에 반도체주 급락했지만…""삼성전자 저가매수할 때""",2
엇갈리는 삼전·하이닉스 주가…전망은?,0
'국민株' 삼성전자 주주 600만명 돌파…올해만 95만명↑,1
삼성그룹 주식·펀드로 뭉칫돈 몰린다,0
6만원 간신히 회복한 삼성전자…美반도체주 강세 영향,1
공모펀드 맥못출때 삼성그룹株펀드 '훨훨',0
"[특징주] 삼성전자, 장중 6만1000원대 회복…SK하이닉스도 1%대 강세",1
“버핏이 샀으면 확실하다”...TSMC 주가 8% 급등 [이종화의 세돌아이],1
"[특징주] 삼성전자, 장중 6만1000원 회복...1.6%↑",1
[삼성전자 주총] 주주 600만명 돌파…3개월새 9만명 늘어,1
"[특징주] 삼성전자·SK하이닉스, 美 반도체주 급락 영향에 약세",2
빈 살만 방한에 새삼 주목받는 '삼성'의 저력…토목부터 수소까지,0
"[특징주] 삼성전자, 3.8% 급등...6만3000원 진입?",1
"KB증권 ""삼성전자·LG엔솔, 국내 소수점 매매 55% 차지""",1
반도체 혹한기에 맞붙은 삼성전자 vs SK하이닉스...R&amp;D 전쟁 승자는? [이종화의 세돌아이],2
‘개미들의 끝없는 삼성전자 사랑’...삼성전자 주주 첫 600만명 돌파,1
"외국인 삼성전자에 2조 '몰빵'...돌아온 6만전자, 개미는 '팔자'",1
[특징주] 빈 살만 방문 후 관련주 변동…현대로템↓·삼성물산↑,0
'600만 주주 시대'…삼성전자 주가 부양책은?,1
삼성전자 주주 첫 600만명 돌파… 올해만 95만명 증가,1
"삼성전자, '이재용 회장' 효과 이어질까",1
내년 초 반등한다는 반도체 업황..삼성·SK 대응책은,1
"삼성전자, 지난 8월 이후 첫 6만 전자 진입",1
"주가 떨어지자 더 치고 들어온 개미들...삼성전자, 600만 주주 시대",2
이재용 '뉴삼성' 기대감…6만전자도 눈 앞으로,1
'6만전자' 굳히기 들어간 삼성전자…개인은 '대탈출',0
10년 만에 회장 승진 '이재용의 삼성전자'…주가도 화답 '6만원 돌파',1
"삼성생명 ""전자 주가따라 손익 급변땐 경영 차질""…금감원 승인 변수",2
"'조각 투자' 소수점 거래, 뚜껑 열어보니 삼성전자·LG엔솔",0
"5만전자 안녕…삼성전자, 두 달여 만에 '6만전자' 탈환",1
美서 불어오는 반도체 훈풍…삼성전자·SK하이닉스 주가 탄력,1
"'이재용 회장' 삼성전자, 6만전자 넘어 7만전자 가능할까",1
4분기 적자전환 전망에 SK하이닉스 주가 '빨간불'… 증권가 전망은?,2
삼성전자 주주 첫 600만 명 돌파‥올해 95만 명 가까이 늘어,1
실적 흐린데 주가는 '쑥'…삼성전자 사들이는 외인·기관,1
삼성전자 하루만에 다시 5만전자로…연말 랠리 가능할까,0
"[특징주] 삼성전자, 5거래일 만에 약세…6만400원 마감",2
"[특징주] 삼성전자, 장 초반 2.6% 넘게 상승…증권가는 목표가 상향",1
"[특징주] 삼성전자, 두 달 만에 '6만전자' 회복",1
"삼성전자, 이재용 회장 시대 개막… 장중 6만전자 터치",0
"삼성생명, 3분기 누적순이익 5332억…전년 比 58.8%↓",0
'시진핑 3연임'의 나비효과…韓 주가 부양 일조?,0
"삼성전자, 반도체 영업익 반토막에도 증권가 ""사라""…이유는",1
뉴욕발 훈풍에 코스피 동조화…'주가 바닥 지났나'(종합),1
쉽지 않은 '6만전자'…외국인은 사는데 개미는 팔고,1
"반도체에 5조 베팅한 버핏…""왜 삼성전자 아닌 TSMC 샀지?""",2
이재용 회장 시대 …삼성 지배구조 어떻게 손보나,0
이재용 회장 선임 소식에....삼성 계열사들도 상승세,1
"삼성생명법 재점화에 논쟁 팽팽…박용진 ""700만 주주 돈 버는 법""",0
"""삼성 사들이는 큰손들""…한 달새 13% 뛰더니 '6만전자' 회복",1
"[특징주] 6만 원대 복귀한 삼성전자, 상승세 이어갈까",1
"삼성전자, 지난 8월 이후 첫 '6만 전자' 진입(종합)",1
[김대호 박사의 오늘 기업·사람] TSMC·버크셔해서웨이·에쓰오일·아람코·삼성생명·삼성전자·ASML·MS,0
"[이재용 회장 시대] 삼성전자, 두 달 만 '6만전자' 복귀",1
"삼성전자, 두 달 만에 '6만전자' 회복...코스피 2300대 회복",1
"""2023년에도 전망밝다""…대덕전자·원익머트리얼즈 기대감↑",1
"[특징주] 삼성전자, 다시 '6만전자'로…6만200원 거래 마감",1
"""펀드 폭망하셨지요""…삼성전자, 하나만 담는 상품 나온다 [코주부]",0
"증권가 ""삼성전자, 레벨업 기회…감산 필요 없어""",1
"3일째 5만전자…주주 600만명 넘어선 삼전, 상승은 언제쯤",0
삼성전자 주주 첫 600만명 돌파…올해만 95만명 증가,1
찬 바람 불면 오르는 삼성전자…올해도 '연말랠리' 가능할까 [선데이 머니카페],0
"6만원 회복 삼성전자, 올해도 연말랠리 가나",0
'5만전자' 도돌이표에 개인들 매도행진,0
[특징주] 삼성전자 6만 원대 회복… 美 반도체주 강세 영향,1
"""주식도 펀드도 믿을 건 삼성뿐""…수조원대 뭉칫돈 몰렸다",0
"삼성전자, 두 달 만에 ‘6만전자’ 회복",1
"SK하이닉스와 차별되는 행보…증권가 ""삼성전자, 곧 봄볕 든다""",1
"“물타기도 지친다”…개인, 삼성전자 올해 최대 규모 순매도",2
돌아온 외국인 '줍줍'…2개월만에 6만전자 탈환,1
"순매수 행렬 외국인…삼성전자, 1조원 ‘저점 매수’ 들어갔다",0
TSMC 덮친 '시진핑 쇼크'…외국인들 삼성전자로 갈아탔다,1
"삼성생명, 3분기 누적 순익 58.8%↓…작년 특별배당금 역기저효과",0
“삼성전자·네카오 물렸으면 3년 버티세요”…주식투자로 36세 은퇴한 비결 [자이앤트TV],0
"삼성전자, 이재용 회장 승진에 ‘6만전자’ 복귀…2개월 만",1
'이재용의 삼성전자' 주가는 어디로…6만 넘어 7만전자 나아가나,1
"美 반도체지수 -3%…삼성전자, 5거래일만에 하락세",2
미국서 불어오는 반도체 훈풍 삼성전자·하이닉스 주가 탄력,1
"삼성전자, 5개월 만에 최고가…美 CPI 호재에 시총 상위주 일제히 ‘급등’",1
"'메모리 1위' 삼성전자 ""감산 없다"" 발표에…2·3위 하이닉스·마이크론 급락",2
또 멀어진 '6만전자·9만닉스'…반도체 치킨게임에 '개미 눈물',2
한 달간 4.7조 사들인 외국인… 큰 형님 삼성전자만 1조 넘게 ‘베팅’,0
외국인 폭풍 '사자'에…6만전자 코앞으로,1
[ET라씨로] 미국 반도체주 급락 영향...삼성전자·SK하이닉스 장초반 약세,2
"'뉴 삼성' 또 하나의 과제, 이재용 강조 '주가 부양'",1
[유안타證 주간추천주]삼성전자·삼성엔지니어링·카카오,0
"6.1만원대 복귀한 삼성전자…""이제 내년 실적 볼때""",1
[특징주]삼성전자 3%·SK하이닉스 6% 동반 강세…뉴욕증시 훈풍,1
"퀄컴, 이익성장 고려시 주가 싸다 [서학개미 리포트]",0
"600만 개미의 통큰 '삼성전자' 사랑, 빠지면 산다…""증권가 5만전자, 더 사라""",1
"미∙중 반도체 전쟁, 왜 싸우는지 알면 답 나온다(feat. 삼전 주가)[딥다이브]",0
"[특징주] 삼성전자, 모처럼 3%대 상승... 장중 5만9500원",1
삼성생명 3Q 누적순익 감소···작년 특별배당 역기저효과,2
앞자리 바뀐 삼성전자…'6만 전자' 회복,1
[핫스탁]삼성전기·롯데케미칼,0
닷새 상승분 하루만에 토해 낸 삼성전자…머나먼 '6만전자',1
"삼성전자, 2.3% 오르며 6만원대 안착…SK하이닉스도 강세",1
이재용 회장 선임에....삼성전자·계열사 주가 상승(종합),1
이재용 회장 승진에 '뉴삼성' '소탈했던 소년' 언론의 찬양 보도,0
"증권가 ""반도체 투자지속 삼성전자, 내년 하반기 실적 개선""",1
‘삼성전자’ 한 종목만 투자하는 ETF 나온다,0
"""땡큐 외국인"" 차이나런에 삼성전자 반사이익… 6만1000원선 안착",0
"[특징주] 에브리봇, 삼성전자 '1인 1로봇' 시대 준비… 홈서비스 로봇 기업 부각",0
삼성전자 주식 '50배 수익' 누구길래…사위는 '웹툰' 박태준,0
"삼성전자, 사흘째 강세…장중 6만1800원 터치 [증시이슈]",1
"""6만전자 가즈아""…이재용 회장 승진한 날, 삼성그룹株 '축포'",1
이재용 회장 승진… 불확실성 걷어내고 ‘6만전자’ 탈환,1
"삼성전자, 美 반도체주 훈풍에 장중 6만원선 회복 [증시이슈]",1
'6만전자' 시동거는 삼전·시총 4위 추락 SK하이닉스…엇갈리는 이유는,2
"""역시 삼성이다"" 불황에도 탄탄...6만전자 회복한 삼성그룹株",1
이재용 회장 취임에 힘받네…두달 만에 육만전자 터치,1
'뉴 삼성' 주가 띄워라…15% 급락에도 자사주 117억 사들인 임원들(종합),1
"‘동학개미’ 삼성전자 손절하는데 외국인은 10월 1조 순매수, 왜?",0
"삼성전자, 주주 첫 600만명 돌파…올해만 95만명 증가",1
"[특징주] 삼성전자, 장중 주가 6만 원선 재차 회복",1
"6만전자 회복한 코스피...""美 증시 영향"" [fn마감시황]",1
"미국 주가·가상화폐 급락에 코스피 장초반 2,410대로 하락(종합)",2
[핫스탁]삼성전기·롯데케미칼(종합),0
