일자,종가,대비,등락률,시가,고가,저가,거래량,거래대금,시가총액,상장주식수
"2022/09/19","177500","0","0.00","180000","182000","176000","702256","125658657000","13749721550000","77463220"
"2022/09/16","177500","-8000","-4.31","184000","188500","176000","1198083","217008236000","13749721550000","77463220"
"2022/09/15","185500","0","0.00","184000","187000","180000","816121","149808111000","14369427310000","77463220"
"2022/09/14","185500","6000","3.34","175000","187000","174500","1376920","251232164000","14369427310000","77463220"
"2022/09/13","179500","10500","6.21","171000","180000","171000","1186998","209887741500","13904647990000","77463220"
"2022/09/08","169000","0","0.00","171000","172500","165000","720435","121458903500","13091284180000","77463220"
"2022/09/07","169000","0","0.00","168000","170000","166000","456107","76632148500","13091284180000","77463220"
"2022/09/06","169000","4500","2.74","163500","169000","163500","459174","76789506000","13091284180000","77463220"
"2022/09/05","164500","0","0.00","164000","168000","163000","431171","71257018500","12742699690000","77463220"
"2022/09/02","164500","1500","0.92","165000","167000","161000","427296","70129072500","12742699690000","77463220"
"2022/09/01","163000","-5000","-2.98","166500","169000","162500","504120","83285660500","12626504860000","77463220"
"2022/08/31","168000","0","0.00","167000","169500","162500","671065","111538891000","13013820960000","77463220"
"2022/08/30","168000","-1500","-0.88","171000","172500","167000","725066","122600542500","13013820960000","77463220"
"2022/08/29","169500","6000","3.67","157500","171000","157500","1075515","178167219000","13130015790000","77463220"
"2022/08/26","163500","-3000","-1.80","167000","168000","163000","528306","87152088000","12665236470000","77463220"
"2022/08/25","166500","500","0.30","167500","169000","162500","858569","142621017000","12897626130000","77463220"
"2022/08/24","166000","7000","4.40","159000","166000","158500","1114907","182092706500","12858894520000","77463220"
"2022/08/23","159000","-1000","-0.63","159000","162500","158000","546264","87263843500","12316651980000","77463220"
"2022/08/22","160000","3000","1.91","154000","161000","153500","821824","130607771500","12394115200000","77463220"
"2022/08/19","157000","-4500","-2.79","161000","161500","154500","777844","122439768000","12161725540000","77463220"
"2022/08/18","161500","3000","1.89","157000","161500","156000","532797","85033957500","12510310030000","77463220"
"2022/08/17","158500","-3500","-2.16","161500","167000","157000","1183679","190263202500","12277920370000","77463220"
"2022/08/16","162000","2000","1.25","161500","163500","159500","558384","90253503000","12549041640000","77463220"
"2022/08/12","160000","-500","-0.31","159500","162000","157500","683358","109145648000","12394115200000","77463220"
"2022/08/11","160500","7500","4.90","156500","164500","155000","1641466","262342124500","12432846810000","77463220"
"2022/08/10","153000","1500","0.99","153000","155500","150500","850820","130359319000","11851872660000","77463220"
"2022/08/09","151500","8000","5.57","144500","156000","144000","1898294","287452623500","11735677830000","77463220"
"2022/08/08","143500","7000","5.13","137000","145500","136500","1193896","170493141500","11115972070000","77463220"
"2022/08/05","136500","1000","0.74","136000","138000","135500","336528","46011852000","10573729530000","77463220"
"2022/08/04","135500","-1000","-0.73","138000","140000","134500","534503","73195819000","10496266310000","77463220"
"2022/08/03","136500","3000","2.25","133500","137000","132500","514084","69359976000","10573729530000","77463220"
"2022/08/02","133500","0","0.00","134500","136000","131500","471997","63164235500","10341339870000","77463220"
"2022/08/01","133500","2000","1.52","132500","135000","131500","649284","86693000500","10341339870000","77463220"